定業,仇雫曝皿方(倖),仇雫偏方(倖),�惻暁�皿方(倖)
1960定,,,
1961定,,,
1962定,,,
1963定,,,
1964定,,,
1965定,,,
1966定,,,
1967定,,,
1968定,,,
1969定,,,
1970定,,,
1971定,,,
1972定,,,
1973定,,,
1974定,,,
1975定,,,
1976定,,,
1977定,,,
1978定,310,98,2653
1979定,315,104,2690
1980定,318,107,2775
1981定,316,108,2780
1982定,322,112,2797
1983定,322,144,2785
1984定,322,147,2814
1985定,327,162,2826
1986定,325,166,2830
1987定,326,170,2826
1988定,334,183,2831
1989定,336,185,2829
1990定,336,185,2833
1991定,338,187,2833
1992定,339,191,2833
1993定,335,196,2835
1994定,333,206,2845
1995定,340,210,2849
1996定,335,218,2859
1997定,332,222,2862
1998定,331,227,2863
1999定,331,236,2858
2000定,333,259,2074
2001定,332,265,2053
2002定,332,275,2860
2003定,333,282,2861
2004定,333,283,2862
2005定,333,283,2862
2006定,333,283,2860
2007定,333,283,2859
2008定,333,283,2859
2009定,333,283,2858
2010定,333,283,2856
2011定,332,284,2853
2012定,333,285,2852
2013定,333,286,2853
2014定,333,288,2854
2015定,334,291,2850
