指标,全社会住宅投资(亿元),城镇住宅投资(亿元),房地产住宅投资(亿元)
1983年,416.1,193.8,
1984年,465.6,208.2,
1985年,641.6,314.8,
1986年,777.8,375.6,
1987年,944.2,440.4,
1988年,1187.1,578.8,
1989年,1194.7,531.4,
1990年,1164.5,498.3,
1991年,1417.4,640.8,
1992年,1716.9,1013.5,
1993年,2725.8,1904.1,
1994年,3806.4,2704.2,
1995年,4736.69,3278.19,1753.1
1996年,5198.54,3326.22,1699.17
1997年,5370.68,3319.67,1539.3805
1998年,6393.81,4310.81,2081.5647
1999年,7058.78,5050.88,2638.4794
2000年,7594.14,5435.28,3311.98
2001年,8339.1,6261.52,4216.68
2002年,9407.1,7248.91,5227.76
2003年,10792.3,8624.83,6776.69
2004年,13464.08,11010.13,8836.95
2005年,15427.2332,12825.7581,10860.9322
2006年,19333.054,16305.5445,13638.4071
2007年,25005.0111,21238.2926,18005.4184
2008年,30881.2,26516,22440.9
2009年,36428.2313,30512.7395,25613.6938
2010年,45027.0095,39763.0995,34026.2276
2011年,57824.4288,51773.3739,44319.5018
2012年,64412.7879,57844.273,49374.2137
2013年,74870.674,67483.3561,58950.7627
2014年,80615.1401,72888.3674,64352.1513
2015年,80247.6946,72745.9969,64595.2421
